,id,user,created_at,text,tweetinput,positive,neutral,negative,compound
0,1004503905017921537,oLRgUntJnCNUwXM,2018-06-06 23:22:48,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…","rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",0.144,0.745,0.112,0.1531
1,1004503852085805056,jonsondiego,2018-06-06 23:22:35,RT @boxofficemojo: Tuesday #BoxOffice: #SoloAStarWarsStory $3.98m; #Deadpool2 $3.4m; @AdriftMovie $1.79m https://t.co/GWEAUFv0V1 https://t.…,rt @boxofficemojo: tuesday #boxoffice: #soloastarwarsstory $3.98m; #deadpool2 $3.4m; @adriftmovie $1.79m https://t.co/gweaufv0v1 https://t.…,0.0,1.0,0.0,0.0
2,1004503790840578048,anthonyslewis,2018-06-06 23:22:21,RT @cinemageekly: PODCAST: We Approve It – Sisters And Shock #Solo #Deadpool2 #Trailers #Movies #Podcasts https://t.co/9G2IGYeiXS,rt @cinemageekly: podcast: we approve it – sisters and shock #solo #deadpool2 #trailers #movies #podcasts https://t.co/9g2igyeixs,0.0,0.843,0.157,-0.3818
3,1004503777527959552,ImNotDemolidora,2018-06-06 23:22:17,RT @racheljpierce: Thanos: Marvel’s Second Favorite Josh Brolin #Deadpool2 https://t.co/ienZEjSWlQ,rt @racheljpierce: thanos: marvel’s second favorite josh brolin #deadpool2 https://t.co/ienzejswlq,0.25,0.75,0.0,0.4588
4,1004503700218564608,latoyiaellis181,2018-06-06 23:21:59,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…","rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",0.144,0.745,0.112,0.1531
5,1004503696372387840,_spndrew,2018-06-06 23:21:58,"RT @FoxFilmdoBrasil: Cable vai mostrar seu corpo sensual ao mundo em #Deadpool2, hoje nos cinemas. https://t.co/ZZ5FDIONgD https://t.co/xnH…","rt @foxfilmdobrasil: cable vai mostrar seu corpo sensual ao mundo em #deadpool2, hoje nos cinemas. https://t.co/zz5fdiongd https://t.co/xnh…",0.0,1.0,0.0,0.0
6,1004503602398810112,veolaphillips12,2018-06-06 23:21:36,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…","rt @4kmiddlebrook: yes i beat the feds, suing 1 billion. i am #winning. #realironman game 2 #nbafinals. follow https://t.co/snl0uipgba give…",0.144,0.745,0.112,0.1531
7,1004503562733355008,cinemageekly,2018-06-06 23:21:26,PODCAST: We Approve It – Sisters And Shock #Solo #Deadpool2 #Trailers #Movies #Podcasts https://t.co/9G2IGYeiXS,podcast: we approve it – sisters and shock #solo #deadpool2 #trailers #movies #podcasts https://t.co/9g2igyeixs,0.0,0.822,0.178,-0.3818
8,1004503484421435392,TheJimmyTopps,2018-06-06 23:21:08,RT @DrHugeShow: #DrHUGEshow🌭 LIVE FT @Y2justincredibl #WWE #Wrestling #ChickMagnetPunk #Solo #Deadpool2 #HBK #RAW #SDLive https://t.co/Jrfm…,rt @drhugeshow: #drhugeshow🌭 live ft @y2justincredibl #wwe #wrestling #chickmagnetpunk #solo #deadpool2 #hbk #raw #sdlive https://t.co/jrfm…,0.0,1.0,0.0,0.0
9,1004503442516271104,byrdbriana1,2018-06-06 23:20:58,RT @bethbroznowicz: Twitter do your thing #Deadpool2 @VancityReynolds https://t.co/ICpq0S0Hjw,rt @bethbroznowicz: twitter do your thing #deadpool2 @vancityreynolds https://t.co/icpq0s0hjw,0.0,1.0,0.0,0.0
