id,user,created_at,text
1004503905017921537,oLRgUntJnCNUwXM,2018-06-06 23:22:48,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…"
1004503852085805056,jonsondiego,2018-06-06 23:22:35,RT @boxofficemojo: Tuesday #BoxOffice: #SoloAStarWarsStory $3.98m; #Deadpool2 $3.4m; @AdriftMovie $1.79m https://t.co/GWEAUFv0V1 https://t.…
1004503790840578048,anthonyslewis,2018-06-06 23:22:21,RT @cinemageekly: PODCAST: We Approve It – Sisters And Shock #Solo #Deadpool2 #Trailers #Movies #Podcasts https://t.co/9G2IGYeiXS
1004503777527959552,ImNotDemolidora,2018-06-06 23:22:17,RT @racheljpierce: Thanos: Marvel’s Second Favorite Josh Brolin #Deadpool2 https://t.co/ienZEjSWlQ
1004503700218564608,latoyiaellis181,2018-06-06 23:21:59,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…"
1004503696372387840,_spndrew,2018-06-06 23:21:58,"RT @FoxFilmdoBrasil: Cable vai mostrar seu corpo sensual ao mundo em #Deadpool2, hoje nos cinemas. https://t.co/ZZ5FDIONgD https://t.co/xnH…"
1004503602398810112,veolaphillips12,2018-06-06 23:21:36,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…"
1004503562733355008,cinemageekly,2018-06-06 23:21:26,PODCAST: We Approve It – Sisters And Shock #Solo #Deadpool2 #Trailers #Movies #Podcasts https://t.co/9G2IGYeiXS
1004503484421435392,TheJimmyTopps,2018-06-06 23:21:08,RT @DrHugeShow: #DrHUGEshow🌭 LIVE FT @Y2justincredibl #WWE #Wrestling #ChickMagnetPunk #Solo #Deadpool2 #HBK #RAW #SDLive https://t.co/Jrfm…
1004503442516271104,byrdbriana1,2018-06-06 23:20:58,RT @bethbroznowicz: Twitter do your thing #Deadpool2 @VancityReynolds https://t.co/ICpq0S0Hjw
1004503418281619456,ykprhgxdqpge765,2018-06-06 23:20:52,"RT @MarkMahon: Weekend Actuals: #SoloStarWars - $29.3M, #Deadpool2 - $23.1M, #Adrift - $11.6M, #AvengersInfinityWar - $10.5M, #BookClub - $…"
1004503221488869376,nbwconsxrsvc530,2018-06-06 23:20:05,"RT @4kmiddlebrook: YES I BEAT the Feds, SUING 1 BILLION. I AM #WINNING. #REALIRONMAN Game 2 #NBAFINALS. FOLLOW https://t.co/SNl0uiPgba GIVE…"
1004503142267056133,aaronstanton95,2018-06-06 23:19:46,Pretty disapointed with #Deadpool2 .. 6/10
1004503101984796672,HileOnLife,2018-06-06 23:19:36,RT @BesottedGeekPod: New ep! #Deadpool2 #drinks #draft #movies #podcast #castaways #WLIPodpeeps https://t.co/57bsLNeK8F
1004503001069858818,Shibattea,2018-06-06 23:19:12,RT @HOOOOJICHA: デッドプール観た #Deadpool2 https://t.co/th07nD02vh
1004504074656669696,comicheronews1,2018-06-06 23:23:28,Posters individuales promocionales de la película de #Marvel #AntmanAndTheWasp https://t.co/xiQrHBYgkW
1004504041597128704,Laeti_lourenco,2018-06-06 23:23:20,"RT @disneyphilefr: (#Ralph2) Attaque cardiaque dans 5, 4, 3, 2... 😱

#WreckitRalph2 #RalphBreaksTheInternet #LesMondesdeRalph #DisneyFan #D…"
